RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       184970     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     3.529D+02  1.451D+04
    1    2     1     0  ---    0  8.0D-05  1.0D+00  3.401D+02  1.098D+04
    2    3     0     0  con    0  1.0D+00  3.1D-01  1.589D+02  1.002D+04
    3    4     0     0  con    0  1.0D+00  1.1D-01  9.807D+01  9.847D+03
    4    5     0     0  con    0  1.0D+00  2.3D-02  1.038D+02  9.835D+03
    5    6     0     0  con    0  1.0D+00  2.6D-02  9.999D+01  9.828D+03
    6    7     0     0  con    0  1.0D+00  1.8D-02  1.013D+02  9.826D+03
    7    8     0     0  con    0  1.0D+00  1.9D-02  9.925D+01  9.824D+03
    8    9     0     0  con    0  1.0D+00  2.0D-02  9.530D+01  9.822D+03
    9   10     0     0  con    0  1.0D+00  2.0D-01  6.921D+01  9.807D+03
   10   11     0     0  con    0  1.0D+00  2.9D-01  9.240D+01  9.797D+03
   11   12     0     0  con    0  1.0D+00  1.2D-01  3.245D+01  9.782D+03
   12   13     0     0  con    0  1.0D+00  9.0D-02  8.420D+00  9.775D+03
   13   14     0     0  con    0  1.0D+00  3.3D-02  3.556D+00  9.774D+03
   14   15     0     0  con    0  1.0D+00  3.5D-03  4.188D+00  9.774D+03
   15   16     0     0  con    0  1.0D+00  1.7D-03  3.107D+00  9.774D+03
   16   17     0     0  con    0  1.0D+00  4.9D-04  3.124D+00  9.774D+03
   17   18     0     0  con    0  1.0D+00  6.9D-04  3.121D+00  9.774D+03
   18   19     0     0  con    0  1.0D+00  8.5D-04  3.075D+00  9.774D+03
   19   20     0     0  con    0  1.0D+00  4.1D-03  2.782D+00  9.774D+03
   20   21     0     0  con    0  1.0D+00  7.8D-03  2.523D+00  9.774D+03
   21   22     0     0  con    0  1.0D+00  6.4D-03  1.568D+00  9.774D+03
   22   23     0     0  con    0  1.0D+00  1.6D-02  1.580D+00  9.774D+03
   23   25     0     0  con    1  4.6D-01  1.5D-03  4.623D-01  9.774D+03
   24   26     0     0  con    0  1.0D+00  2.1D-03  1.444D-01  9.774D+03
   25   27     0     0  con    0  1.0D+00  2.3D-04  1.537D-01  9.774D+03
   26   28     0     0  con    0  1.0D+00  8.6D-05  1.439D-01  9.774D+03

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 1.613E+01 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       184970     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     9.456D+01  8.525D+03
    1    3     1     0  ---    1  7.5D-05  2.5D-01  9.597D+01  8.111D+03
    2    5     0     0  con    1  5.2D-01  4.7D-02  2.041D+01  8.082D+03
    3    6     0     0  con    0  1.0D+00  1.9D-02  1.228D+01  8.074D+03
    4    7     0     0  con    0  1.0D+00  4.0D-02  2.606D+01  8.068D+03
    5    8     0     0  con    0  1.0D+00  9.1D-03  1.999D+01  8.068D+03
    6    9     0     0  con    0  1.0D+00  2.8D-03  2.054D+01  8.067D+03
    7   10     0     0  con    0  1.0D+00  1.8D-03  2.136D+01  8.067D+03
    8   11     0     0  con    0  1.0D+00  3.8D-03  2.210D+01  8.067D+03
    9   12     0     0  con    0  1.0D+00  7.2D-03  2.204D+01  8.067D+03
   10   13     0     0  con    0  1.0D+00  2.2D-02  2.122D+01  8.067D+03
   11   14     0     0  con    0  1.0D+00  3.7D-02  1.681D+01  8.067D+03
   12   15     0     0  con    0  1.0D+00  4.2D-02  1.095D+01  8.066D+03
   13   17     0     0  con    1  4.2D-01  4.8D-02  1.024D+01  8.066D+03
   14   18     0     0  con    0  1.0D+00  4.4D-02  2.107D+00  8.065D+03
   15   19     0     0  con    0  1.0D+00  8.9D-03  1.654D+00  8.065D+03
   16   20     0     0  con    0  1.0D+00  4.8D-03  1.709D+00  8.065D+03
   17   21     0     0  con    0  1.0D+00  2.1D-03  1.321D+00  8.065D+03
   18   22     0     0  con    0  1.0D+00  1.5D-03  1.214D+00  8.065D+03
   19   23     0     0  con    0  1.0D+00  5.5D-04  1.032D+00  8.065D+03
   20   24     0     0  con    0  1.0D+00  8.7D-04  1.076D+00  8.065D+03
   21   25     0     0  con    0  1.0D+00  2.4D-03  8.197D-01  8.065D+03
   22   26     0     0  con    0  1.0D+00  6.9D-03  1.028D+00  8.065D+03
   23   27     0     0  con    0  1.0D+00  3.8D-03  3.991D-01  8.065D+03
   24   28     0     0  con    0  1.0D+00  3.0D-03  2.117D-01  8.065D+03
   25   30     0     0  con    1  5.2D-01  1.0D-03  4.126D-01  8.065D+03
